question,sentence,answer
what is an irregular heartbeat pvc,"In a PVC, the ventricles contract first and before the atria have optimally filled the ventricles with blood, which means that circulation is inefficient.","In a PVC, the ventricles contract first and before the atria have optimally filled the ventricles with blood, which means that circulation is inefficient"
what is flour made from,"Flour is a powder which is made by grinding cereal grains , or other seeds or roots (like Cassava ).","grinding cereal grains , or other seeds or roots (like Cassava )"
what is flour made from,"Flour is a powder which is made by grinding cereal grains , or other seeds or roots (like Cassava ).","Flour is a powder which is made by grinding cereal grains , or other seeds or roots (like Cassava )"
what is my resting heart rate at age 24,"Heart rate can vary as the body's need to absorb oxygen and excrete carbon dioxide changes, such as during physical exercise , sleep , illness, or as a result of ingesting drugs :","vary as the body's need to absorb oxygen and excrete carbon dioxide changes, such as during physical exercise , sleep , illness, or as a result of ingesting drugs"
what is the name for an old horse-drawn vehicle,"A carriage is a wheeled vehicle for people, usually horse-drawn; litters (palanquins) and sedan chairs are excluded, since they are wheelless vehicles.",A carriage
what is the name for an old horse-drawn vehicle,"A carriage is a wheeled vehicle for people, usually horse-drawn; litters (palanquins) and sedan chairs are excluded, since they are wheelless vehicles.","A carriage is a wheeled vehicle for people, usually horse-drawn; litters (palanquins) and sedan chairs are excluded, since they are wheelless vehicles"
where was the tsunami in 2005,"The 2004 Indian Ocean earthquake was an undersea megathrust earthquake that occurred at 00:58:53 UTC on Sunday, 26 December 2004, with an epicentre off the west coast of Sumatra , Indonesia.","the west coast of Sumatra , Indonesia"
where was the tsunami in 2005,"The 2004 Indian Ocean earthquake was an undersea megathrust earthquake that occurred at 00:58:53 UTC on Sunday, 26 December 2004, with an epicentre off the west coast of Sumatra , Indonesia.","The 2004 Indian Ocean earthquake was an undersea megathrust earthquake that occurred at 00:58:53 UTC on Sunday, 26 December 2004, with an epicentre off the west coast of Sumatra , Indonesia"
what is the source of geothermal energy,The Geothermal energy of the Earth's crust originates from the original formation of the planet (20%) and from radioactive decay of minerals (80%).,from the original formation of the planet (20%) and from radioactive decay of minerals (80%)
what is the source of geothermal energy,The Geothermal energy of the Earth's crust originates from the original formation of the planet (20%) and from radioactive decay of minerals (80%).,originates from the original formation of the planet (20%) and from radioactive decay of minerals (80%)
what is cubic ft,"The term cubic foot is an Imperial and US customary (non- metric ) unit of volume , used in the United States and the United Kingdom.","an Imperial and US customary (non- metric ) unit of volume , used in the United States and the United Kingdom"
what is cubic ft,"The term cubic foot is an Imperial and US customary (non- metric ) unit of volume , used in the United States and the United Kingdom.","The term cubic foot is an Imperial and US customary (non- metric ) unit of volume , used in the United States and the United Kingdom"
who was ho chi minh in vietnam war,"He was a key figure in the foundation of the Democratic Republic of Vietnam in 1945, as well as the People’s Army of Vietnam (PAVN) and the Việt Cộng (NLF or VC) during the Vietnam War .","a key figure in the foundation of the Democratic Republic of Vietnam in 1945, as well as the People’s Army of Vietnam (PAVN) and the Việt Cộng (NLF or VC) during the Vietnam War"
who was ho chi minh in vietnam war,"He was a key figure in the foundation of the Democratic Republic of Vietnam in 1945, as well as the People’s Army of Vietnam (PAVN) and the Việt Cộng (NLF or VC) during the Vietnam War .","He was a key figure in the foundation of the Democratic Republic of Vietnam in 1945, as well as the People’s Army of Vietnam (PAVN) and the Việt Cộng (NLF or VC) during the Vietnam War"
what is another name for cpu,"A central processing unit (CPU), also referred to as a central processor unit, is the hardware within a computer that carries out the instructions of a computer program by performing the basic arithmetical, logical, and input/output operations of the system.",a central processor unit
what is another name for cpu,"A central processing unit (CPU), also referred to as a central processor unit, is the hardware within a computer that carries out the instructions of a computer program by performing the basic arithmetical, logical, and input/output operations of the system.",A central processing unit
who was charged with murder after the massacre at My lai,"While 26 U.S. soldiers were initially charged with criminal offenses for their actions at Mỹ Lai, only Second Lieutenant William Calley , a platoon leader in Charlie Company, was convicted.",26 U.S. soldiers
who was charged with murder after the massacre at My lai,"While 26 U.S. soldiers were initially charged with criminal offenses for their actions at Mỹ Lai, only Second Lieutenant William Calley , a platoon leader in Charlie Company, was convicted.",26 U.S. soldiers
what is metal music about,"With roots in blues rock and psychedelic rock , the bands that created heavy metal developed a thick, massive sound, characterized by highly amplified distortion , extended guitar solos, emphatic beats, and overall loudness.","With roots in blues rock and psychedelic rock , the bands that created heavy metal developed a thick, massive sound, characterized by highly amplified distortion , extended guitar solos, emphatic beats, and overall loudness"
what is metal music about,"With roots in blues rock and psychedelic rock , the bands that created heavy metal developed a thick, massive sound, characterized by highly amplified distortion , extended guitar solos, emphatic beats, and overall loudness.","With roots in blues rock and psychedelic rock , the bands that created heavy metal developed a thick, massive sound, characterized by highly amplified distortion , extended guitar solos, emphatic beats, and overall loudness"
what is metal music about,Heavy metal lyrics and performance styles are generally associated with masculinity and machismo .,Heavy metal lyrics and performance styles are generally associated with masculinity and machismo
what is metal music about,Heavy metal lyrics and performance styles are generally associated with masculinity and machismo .,Heavy metal lyrics and performance styles are generally associated with masculinity and machismo
what is extreme right wing,The far-right (also known as the extreme right) refers to the highest degree of rightism in right-wing politics .,the highest degree of rightism in right-wing politics
what is extreme right wing,The far-right (also known as the extreme right) refers to the highest degree of rightism in right-wing politics .,The far-right (also known as the extreme right) refers to the highest degree of rightism in right-wing politics
what is extreme right wing,"Far right politics involves support of strong or complete social hierarchy in society, and supports supremacy of certain individuals or groups deemed to be innately superior or preferable who are to be more valued than those deemed to be innately inferior or undesirable.","Far right politics involves support of strong or complete social hierarchy in society, and supports supremacy of certain individuals or groups deemed to be innately superior or preferable who are to be more valued than those deemed to be innately inferior or undesirable"
what is extreme right wing,"Far right politics involves support of strong or complete social hierarchy in society, and supports supremacy of certain individuals or groups deemed to be innately superior or preferable who are to be more valued than those deemed to be innately inferior or undesirable.","Far right politics involves support of strong or complete social hierarchy in society, and supports supremacy of certain individuals or groups deemed to be innately superior or preferable who are to be more valued than those deemed to be innately inferior or undesirable"
what is the title of Hobbes main work,His 1651 book Leviathan established the foundation for most of Western political philosophy from the perspective of social contract theory.,Leviathan
what is the title of Hobbes main work,His 1651 book Leviathan established the foundation for most of Western political philosophy from the perspective of social contract theory.,Leviathan
what is high emotional intelligence?,"Emotional intelligence (EI) is the ability to identify, assess, and control the emotions of oneself, of others, and of groups.","the ability to identify, assess, and control the emotions of oneself, of others, and of groups"
what is high emotional intelligence?,"Emotional intelligence (EI) is the ability to identify, assess, and control the emotions of oneself, of others, and of groups.","Emotional intelligence (EI) is the ability to identify, assess, and control the emotions of oneself, of others, and of groups"
what is the role of heredity,Heredity is the passing of traits to offspring from its parents or ancestor.,the passing of traits to offspring from its parents or ancestor
what is the role of heredity,Heredity is the passing of traits to offspring from its parents or ancestor.,Heredity is the passing of traits to offspring from its parents or ancestor
what is the role of heredity,This is the process by which an offspring cell or organism acquires or becomes predisposed to the characteristics of its parent cell or organism.,the process by which an offspring cell or organism acquires or becomes predisposed to the characteristics of its parent cell or organism
what is the role of heredity,This is the process by which an offspring cell or organism acquires or becomes predisposed to the characteristics of its parent cell or organism.,This is the process by which an offspring cell or organism acquires or becomes predisposed to the characteristics of its parent cell or organism
what is prefix phone number,"A telephone prefix is the first set of digits of a telephone number; in the North American Numbering Plan countries (country code 1), it is the first three digits of a seven-digit phone number.","the first set of digits of a telephone number; in the North American Numbering Plan countries (country code 1), it is the first three digits of a seven-digit phone number"
what is prefix phone number,"A telephone prefix is the first set of digits of a telephone number; in the North American Numbering Plan countries (country code 1), it is the first three digits of a seven-digit phone number.","A telephone prefix is the first set of digits of a telephone number; in the North American Numbering Plan countries (country code 1), it is the first three digits of a seven-digit phone number"
what is metformin used for,"Metformin ( BP , pronounced , ; originally sold as Glucophage) is an oral antidiabetic drug in the biguanide class.",an oral antidiabetic drug in the biguanide class
what is metformin used for,"Metformin ( BP , pronounced , ; originally sold as Glucophage) is an oral antidiabetic drug in the biguanide class.","Metformin ( BP , pronounced , ; originally sold as Glucophage) is an oral antidiabetic drug in the biguanide class"
what is metformin used for,"It is the first-line drug of choice for the treatment of type 2 diabetes , in particular, in overweight and obese people and those with normal kidney function.","the first-line drug of choice for the treatment of type 2 diabetes , in particular, in overweight and obese people and those with normal kidney function"
what is metformin used for,"It is the first-line drug of choice for the treatment of type 2 diabetes , in particular, in overweight and obese people and those with normal kidney function.","It is the first-line drug of choice for the treatment of type 2 diabetes , in particular, in overweight and obese people and those with normal kidney function"
what is it like at mount rushmore?,"The Mount Rushmore National Memorial is a sculpture carved into the granite face of Mount Rushmore near Keystone , South Dakota , in the United States .","a sculpture carved into the granite face of Mount Rushmore near Keystone , South Dakota , in the United States"
what is it like at mount rushmore?,"The Mount Rushmore National Memorial is a sculpture carved into the granite face of Mount Rushmore near Keystone , South Dakota , in the United States .","The Mount Rushmore National Memorial is a sculpture carved into the granite face of Mount Rushmore near Keystone , South Dakota , in the United States"
what is buttoned-down shirt?,"The term ""button-down"" (which refers a type of shirt which has a collar fastened down by buttons) is sometimes used in error to apply to all shirts (with or without buttoned down collars), being used as a synonym for ""button-up"" or ""button-front"".","sometimes used in error to apply to all shirts (with or without buttoned down collars), being used as a synonym for ""button-up"" or ""button-front"""
what is buttoned-down shirt?,"The term ""button-down"" (which refers a type of shirt which has a collar fastened down by buttons) is sometimes used in error to apply to all shirts (with or without buttoned down collars), being used as a synonym for ""button-up"" or ""button-front"".","The term ""button-down"" (which refers a type of shirt which has a collar fastened down by buttons) is sometimes used in error to apply to all shirts (with or without buttoned down collars), being used as a synonym for ""button-up"" or ""button-front"
when is administrative assistant day,"In North America , it is celebrated on the Wednesday of the last full week of April (April 24 in 2013).",the Wednesday of the last full week of April (April 24 in 2013)
when is administrative assistant day,"In North America , it is celebrated on the Wednesday of the last full week of April (April 24 in 2013).",the Wednesday of the last full week of April
where is keith whitley from,"Jackie Keith Whitley (July 1, 1954Stambler, Irwin, and Grelun Landon (2000). - Country Music: The Encyclopedia. - New York: St. Martin's Press. - p.533. - ISBN 978-0-312-26487-1.—Carlin, Richard (2003). - Country Music: A Biographical Dictionary. - New York: Routledge - p.427. - ISBN 978-0-415-93802-0.—Larkin, Colin (1995). - The Guinness Encyclopedia of Popular Music. - New York: Stockton Press - P.4462. - ISBN 978-0-85112-662-3.—Stanton, Scott (2003). - The Tombstone Tourist: Musicians. - New York: Pocket Books. - p.395. - ISBN 978-0-7434-6330-0.—Hicks, Jack. - ""Singer Keith Whitley's Memory Alive Through Songs, Love in Home Town"". - The Kentucky Post . - September 25, 1991.—""Country Music Star Keith Whitley Dead at 33"". - Lexington Herald-Leader . - May 10, 1989.——Hurst, Jack. - ""Whitley's Last Days"". - Chicago Tribune . - May 14, 1989.—""Alcohol Kills Country Singer Keith Whitley"". - United Press International . - (c/o The San Francisco Chronicle ). - May 10, 1989. — May 9, 1989), known professionally as Keith Whitley, was an American country music singer.",American
where are the internal and external iliac arteries,The external iliac arteries are two major arteries which bifurcate off the common iliac arteries anterior to the sacroiliac joint of the pelvis.,two major arteries which bifurcate off the common iliac arteries anterior to the sacroiliac joint of the pelvis
where are the internal and external iliac arteries,The external iliac arteries are two major arteries which bifurcate off the common iliac arteries anterior to the sacroiliac joint of the pelvis.,The external iliac arteries are two major arteries which bifurcate off the common iliac arteries anterior to the sacroiliac joint of the pelvis
what is steam by valve corporation,"Steam is a digital distribution , digital rights management , multiplayer and communications platform developed by Valve Corporation .","a digital distribution , digital rights management , multiplayer and communications platform developed by Valve Corporation"
what is steam by valve corporation,"Steam is a digital distribution , digital rights management , multiplayer and communications platform developed by Valve Corporation .","Steam is a digital distribution , digital rights management , multiplayer and communications platform developed by Valve Corporation"
where is the Rhine river located on a map,"The Rhine (; ; ) is a European river that runs from the Swiss canton of Grisons in the southeastern Swiss Alps through Germany and eventually flows into the North Sea coast in the Netherlands and is the twelfth longest river in Europe , at about , with an average discharge of more than .",the Swiss canton of Grisons in the southeastern Swiss Alps through Germany and eventually flows into the North Sea coast in the Netherlands and is the twelfth longest river in Europe
where is the Rhine river located on a map,"The Rhine (; ; ) is a European river that runs from the Swiss canton of Grisons in the southeastern Swiss Alps through Germany and eventually flows into the North Sea coast in the Netherlands and is the twelfth longest river in Europe , at about , with an average discharge of more than .",runs from the Swiss canton of Grisons in the southeastern Swiss Alps through Germany and eventually flows into the North Sea coast in the Netherlands
what is sanskrit shri,"Sri ( Devanagari : श्री, IAST ; Śrī), also transliterated as Sree or Shri or Shree is a word of Sanskrit origin, used in the Indian subcontinent as polite form of address equivalent to the English ""Mr."" in written and spoken language, or as a title of veneration for deities (usually translated as ""Holy"").","a word of Sanskrit origin, used in the Indian subcontinent as polite form of address equivalent to the English ""Mr."" in written and spoken language, or as a title of veneration for deities (usually translated as ""Holy"")"
what is sanskrit shri,"Sri ( Devanagari : श्री, IAST ; Śrī), also transliterated as Sree or Shri or Shree is a word of Sanskrit origin, used in the Indian subcontinent as polite form of address equivalent to the English ""Mr."" in written and spoken language, or as a title of veneration for deities (usually translated as ""Holy"").","a word of Sanskrit origin, used in the Indian subcontinent as polite form of address equivalent to the English ""Mr."" in written and spoken language, or as a title of veneration for deities (usually translated as ""Holy"")"
what is civil engineering aBOUT,"Civil engineering is a professional engineering discipline that deals with the design, construction, and maintenance of the physical and naturally built environment, including works like roads, bridges, canals , dams, and buildings.","a professional engineering discipline that deals with the design, construction, and maintenance of the physical and naturally built environment, including works like roads, bridges, canals , dams, and buildings"
what is civil engineering aBOUT,"Civil engineering is a professional engineering discipline that deals with the design, construction, and maintenance of the physical and naturally built environment, including works like roads, bridges, canals , dams, and buildings.","Civil engineering is a professional engineering discipline that deals with the design, construction, and maintenance of the physical and naturally built environment, including works like roads, bridges, canals , dams, and buildings"
Where is South Beach in Miami,"South Beach, also nicknamed SoBe, is a neighborhood in the city of Miami Beach , Florida , United States , located due east of Miami city proper between Biscayne Bay and the Atlantic Ocean .",due east of Miami city proper between Biscayne Bay and the Atlantic Ocean
Where is South Beach in Miami,"South Beach, also nicknamed SoBe, is a neighborhood in the city of Miami Beach , Florida , United States , located due east of Miami city proper between Biscayne Bay and the Atlantic Ocean .",located due east of Miami city proper between Biscayne Bay and the Atlantic Ocean
who was john f kennedy up against,"The Republican Party nominated incumbent Vice-President Richard Nixon , while the Democratic Party nominated John F. Kennedy , Senator from Massachusetts.",Richard Nixon
who was john f kennedy up against,"The Republican Party nominated incumbent Vice-President Richard Nixon , while the Democratic Party nominated John F. Kennedy , Senator from Massachusetts.",Richard Nixon
what is the controlled substance act known as,The Controlled Substances Act (CSA) was enacted into law by the Congress of the United States as Title II of the Comprehensive Drug Abuse Prevention and Control Act of 1970 .,Title II of the Comprehensive Drug Abuse Prevention and Control Act of 1970
what is the controlled substance act known as,The Controlled Substances Act (CSA) was enacted into law by the Congress of the United States as Title II of the Comprehensive Drug Abuse Prevention and Control Act of 1970 .,Title II of the Comprehensive Drug Abuse Prevention and Control Act of 1970
when was fdr elected as president,"Franklin Delano Roosevelt ( or ; January 30, 1882 – April 12, 1945), also known by his initials, FDR, was the 32nd President of the United States (1933–1945) and a central figure in world events during the mid-20th century, leading the United States during a time of worldwide economic depression and total war.",1933
when was fdr elected as president,"Franklin Delano Roosevelt ( or ; January 30, 1882 – April 12, 1945), also known by his initials, FDR, was the 32nd President of the United States (1933–1945) and a central figure in world events during the mid-20th century, leading the United States during a time of worldwide economic depression and total war.",1933–
where was ms-13 originally from,"Mara Salvatrucha (commonly abbreviated as MS, Mara, and MS-13) is a transnational criminal gang that originated in Los Angeles and has spread to other parts of the United States, Canada, Mexico, and Central America.",Los Angeles
where was ms-13 originally from,"Mara Salvatrucha (commonly abbreviated as MS, Mara, and MS-13) is a transnational criminal gang that originated in Los Angeles and has spread to other parts of the United States, Canada, Mexico, and Central America.",originated in Los Angeles
what is bones job,"The show is based on forensic anthropology and forensic archaeology , with each episode focusing on an FBI case file concerning the mystery behind human remains brought by FBI Special Agent Seeley Booth ( David Boreanaz ) to the forensic anthropologist Dr. Temperance ""Bones"" Brennan ( Emily Deschanel ).","based on forensic anthropology and forensic archaeology , with each episode focusing on an FBI case file concerning the mystery behind human remains brought by FBI Special Agent Seeley Booth ( David Boreanaz ) to the forensic anthropologist Dr. Temperance ""Bones"" Brennan ( Emily Deschanel )"
what is bones job,"The show is based on forensic anthropology and forensic archaeology , with each episode focusing on an FBI case file concerning the mystery behind human remains brought by FBI Special Agent Seeley Booth ( David Boreanaz ) to the forensic anthropologist Dr. Temperance ""Bones"" Brennan ( Emily Deschanel ).",forensic anthropologist
where was the super bowl in 1991,"The game was held at Tampa Stadium in Tampa, Florida , on January 27, 1991, during the height of the Gulf War .","Tampa Stadium in Tampa, Florida"
where was the super bowl in 1991,"The game was held at Tampa Stadium in Tampa, Florida , on January 27, 1991, during the height of the Gulf War .","Tampa Stadium in Tampa, Florida"
when was malcolm x assassinated,"Malcolm X (; May 19, 1925February 21, 1965), born Malcolm Little and also known as El-Hajj Malik El-Shabazz (), was an African-American Muslim minister and human rights activist.","February 21, 1965"
when was malcolm x assassinated,"Malcolm X (; May 19, 1925February 21, 1965), born Malcolm Little and also known as El-Hajj Malik El-Shabazz (), was an African-American Muslim minister and human rights activist.",1965
when was malcolm x assassinated,"In February 1965, less than a year after leaving the Nation of Islam, he was assassinated by three members of the group.",February 1965
when was malcolm x assassinated,"In February 1965, less than a year after leaving the Nation of Islam, he was assassinated by three members of the group.",February 1965
who are the characters in 90210 in season 3,"Regular cast members for the season included Shenae Grimes , Tristan Wilds , AnnaLynne McCord , Ryan Eggold , Jessica Stroup , Michael Steger , Jessica Lowndes , Matt Lanter , Gillian Zinser , Trevor Donovan and Lori Loughlin .","Shenae Grimes , Tristan Wilds , AnnaLynne McCord , Ryan Eggold , Jessica Stroup , Michael Steger , Jessica Lowndes , Matt Lanter , Gillian Zinser , Trevor Donovan and Lori Loughlin"
who are the characters in 90210 in season 3,"Regular cast members for the season included Shenae Grimes , Tristan Wilds , AnnaLynne McCord , Ryan Eggold , Jessica Stroup , Michael Steger , Jessica Lowndes , Matt Lanter , Gillian Zinser , Trevor Donovan and Lori Loughlin .","Regular cast members for the season included Shenae Grimes , Tristan Wilds , AnnaLynne McCord , Ryan Eggold , Jessica Stroup , Michael Steger , Jessica Lowndes , Matt Lanter , Gillian Zinser , Trevor Donovan and Lori Loughlin"
when was queen elizabeth ii married,"In 1947, she married Prince Philip, Duke of Edinburgh , with whom she has four children: Charles , Anne , Andrew , and Edward .",1947
when was queen elizabeth ii married,"In 1947, she married Prince Philip, Duke of Edinburgh , with whom she has four children: Charles , Anne , Andrew , and Edward .",1947
where are facial sinuses,"Paranasal sinuses are a group of four paired air-filled spaces that surround the nasal cavity ( maxillary sinuses ), above the eyes ( frontal sinuses ), between the eyes ( ethmoid sinuses ), and behind the ethmoids ( sphenoid sinuses ).","surround the nasal cavity ( maxillary sinuses ), above the eyes ( frontal sinuses ), between the eyes ( ethmoid sinuses ), and behind the ethmoids ( sphenoid sinuses )"
where are facial sinuses,"Paranasal sinuses are a group of four paired air-filled spaces that surround the nasal cavity ( maxillary sinuses ), above the eyes ( frontal sinuses ), between the eyes ( ethmoid sinuses ), and behind the ethmoids ( sphenoid sinuses ).","surround the nasal cavity ( maxillary sinuses ), above the eyes ( frontal sinuses ), between the eyes ( ethmoid sinuses ), and behind the ethmoids ( sphenoid sinuses )"
what is lean manufacturing and who developed,"Lean manufacturing, lean enterprise, or lean production, often simply, ""Lean,"" is a production practice that considers the expenditure of resources for any goal other than the creation of value for the end customer to be wasteful, and thus a target for elimination.","a production practice that considers the expenditure of resources for any goal other than the creation of value for the end customer to be wasteful, and thus a target for elimination"
what is lean manufacturing and who developed,"Lean manufacturing, lean enterprise, or lean production, often simply, ""Lean,"" is a production practice that considers the expenditure of resources for any goal other than the creation of value for the end customer to be wasteful, and thus a target for elimination.","Lean manufacturing, lean enterprise, or lean production, often simply, ""Lean,"" is a production practice that considers the expenditure of resources for any goal other than the creation of value for the end customer to be wasteful, and thus a target for elimination"
what is lean manufacturing and who developed,"Lean manufacturing is a management philosophy derived mostly from the Toyota Production System (TPS) (hence the term Toyotism is also prevalent) and identified as ""Lean"" only in the 1990s.","a management philosophy derived mostly from the Toyota Production System (TPS) (hence the term Toyotism is also prevalent) and identified as ""Lean"" only in the 1990s"
what is lean manufacturing and who developed,"Lean manufacturing is a management philosophy derived mostly from the Toyota Production System (TPS) (hence the term Toyotism is also prevalent) and identified as ""Lean"" only in the 1990s.",management philosophy derived mostly from the Toyota Production System (TPS)
who is is the singer westlife,Westlife were an Irish boy band which formed in 1998 and disbanded in 2012.,an Irish boy band which formed in 1998 and disbanded in 2012
who is is the singer westlife,Westlife were an Irish boy band which formed in 1998 and disbanded in 2012.,Westlife were an Irish boy band which formed in 1998 and disbanded in 2012
what is vitamin a for,"Vitamin A has multiple functions, it is important for growth and development, for the maintenance of the immune system and good vision.","multiple functions, it is important for growth and development, for the maintenance of the immune system and good vision"
what is vitamin a for,"Vitamin A has multiple functions, it is important for growth and development, for the maintenance of the immune system and good vision.","it is important for growth and development, for the maintenance of the immune system and good vision"
what is vitamin a for,"Vitamin A is needed by the retina of the eye in the form of retinal , which combines with protein opsin to form rhodopsin the light-absorbing molecule , that is necessary for both low-light ( scotopic vision) and color vision .","needed by the retina of the eye in the form of retinal , which combines with protein opsin to form rhodopsin the light-absorbing molecule , that is necessary for both low-light ( scotopic vision) and color vision"
what is vitamin a for,"Vitamin A is needed by the retina of the eye in the form of retinal , which combines with protein opsin to form rhodopsin the light-absorbing molecule , that is necessary for both low-light ( scotopic vision) and color vision .","Vitamin A is needed by the retina of the eye in the form of retinal , which combines with protein opsin to form rhodopsin the light-absorbing molecule , that is necessary for both low-light ( scotopic vision) and color vision"
what is the capital city of california.,Sacramento is the capital city of the U.S. state of California and the seat of government of Sacramento County .,Sacramento
what is the capital city of california.,Sacramento is the capital city of the U.S. state of California and the seat of government of Sacramento County .,Sacramento
when is it memorial day,Memorial Day is a United States federal holiday which occurs every year on the final Monday of May.,occurs every year on the final Monday of May
when is it memorial day,Memorial Day is a United States federal holiday which occurs every year on the final Monday of May.,final Monday of May
"What was ""Freedom Summer""?","Freedom Summer (also known as the Mississippi Summer Project) was a campaign in the United States launched in June 1964 to attempt to register as many African American voters as possible in Mississippi , which had historically excluded most blacks from voting.","a campaign in the United States launched in June 1964 to attempt to register as many African American voters as possible in Mississippi , which had historically excluded most blacks from voting"
"What was ""Freedom Summer""?","Freedom Summer (also known as the Mississippi Summer Project) was a campaign in the United States launched in June 1964 to attempt to register as many African American voters as possible in Mississippi , which had historically excluded most blacks from voting.","Freedom Summer (also known as the Mississippi Summer Project) was a campaign in the United States launched in June 1964 to attempt to register as many African American voters as possible in Mississippi , which had historically excluded most blacks from voting"
"What was ""Freedom Summer""?","The project also set up dozens of Freedom Schools, Freedom Houses, and community centers in small towns throughout Mississippi to aid the local black population.","The project also set up dozens of Freedom Schools, Freedom Houses, and community centers in small towns throughout Mississippi to aid the local black population"
where is dia de los muertos celebrated,Day of the Dead () is a Mexican holiday celebrated throughout Mexico and around the world in other cultures.,Mexico and around the world
where is dia de los muertos celebrated,Day of the Dead () is a Mexican holiday celebrated throughout Mexico and around the world in other cultures.,celebrated throughout Mexico
what was the Name the first electronic handheld calculator,The ANITA Mark VII and ANITA Mark VIII calculators were launched simultaneously in late 1961 as the world's first all- electronic desktop calculators .,ANITA Mark VII and ANITA Mark VIII
what was the Name the first electronic handheld calculator,The ANITA Mark VII and ANITA Mark VIII calculators were launched simultaneously in late 1961 as the world's first all- electronic desktop calculators .,The ANITA Mark VII and ANITA Mark VIII calculators were launched simultaneously in late 1961 as the world's first all- electronic desktop calculators
when was washington elected president,"George Washington ( – , 1799) was the first President of the United States (1789–1797), the commander-in-chief of the Continental Army during the American Revolutionary War , and one of the Founding Fathers of the United States .",1789
when was washington elected president,"George Washington ( – , 1799) was the first President of the United States (1789–1797), the commander-in-chief of the Continental Army during the American Revolutionary War , and one of the Founding Fathers of the United States .",1789
where is the island New Guinea?,"Located in the southwest Pacific Ocean , it lies geographically to the east of the Malay Archipelago , with which it is sometimes included as part of a greater Indo-Australian Archipelago .","the southwest Pacific Ocean , it lies geographically to the east of the Malay Archipelago , with which it is sometimes included as part of a greater Indo-Australian Archipelago"
where is the island New Guinea?,"Located in the southwest Pacific Ocean , it lies geographically to the east of the Malay Archipelago , with which it is sometimes included as part of a greater Indo-Australian Archipelago .","Located in the southwest Pacific Ocean , it lies geographically to the east of the Malay Archipelago , with which it is sometimes included as part of a greater Indo-Australian Archipelago"
what is in milk,Milk is a white liquid produced by the mammary glands of mammals .,white liquid
what is in milk,"Early- lactation milk contains colostrum , which carries the mother's antibodies to the baby and can reduce the risk of many diseases in the baby.",colostrum
what is in milk,"Early- lactation milk contains colostrum , which carries the mother's antibodies to the baby and can reduce the risk of many diseases in the baby.","Early- lactation milk contains colostrum , which carries the mother's antibodies to the baby and can reduce the risk of many diseases in the baby"
What is motorcycle speedway racing,"Motorcycle speedway, usually referred to as speedway, is a motorcycle sport involving four and sometimes up to six riders competing over four anti-clockwise laps of an oval circuit.",a motorcycle sport involving four and sometimes up to six riders competing over four anti-clockwise laps of an oval circuit
What is motorcycle speedway racing,"Motorcycle speedway, usually referred to as speedway, is a motorcycle sport involving four and sometimes up to six riders competing over four anti-clockwise laps of an oval circuit.","Motorcycle speedway, usually referred to as speedway, is a motorcycle sport involving four and sometimes up to six riders competing over four anti-clockwise laps of an oval circuit"
who is the guy in the wheelchair who is smart,"Professor Stephen Hawking , known for being a theoretical physicist , has appeared in many works of popular culture .",Stephen Hawking
who is the guy in the wheelchair who is smart,"Professor Stephen Hawking , known for being a theoretical physicist , has appeared in many works of popular culture .",Professor Stephen Hawking
what is honey bee propolis,Propolis as hive sealing,Propolis as hive sealing
what is honey bee propolis,Propolis as hive sealing,Propolis as hive sealing
what is honey bee propolis,"Propolis is a resinous mixture that honey bees collect from tree buds, sap flows, or other botanical sources.","a resinous mixture that honey bees collect from tree buds, sap flows, or other botanical sources"
what is honey bee propolis,"Propolis is a resinous mixture that honey bees collect from tree buds, sap flows, or other botanical sources.","Propolis is a resinous mixture that honey bees collect from tree buds, sap flows, or other botanical sources"
when was steven tyler born,"Steven Tyler (born Steven Victor Tallarico; March 26, 1948) is an American singer, songwriter, and multi-instrumentalist, best known as the frontman and lead singer of the Boston -based rock band Aerosmith , in which he also plays the harmonica, and occasional piano and percussion.","March 26, 1948"
when was steven tyler born,"Steven Tyler (born Steven Victor Tallarico; March 26, 1948) is an American singer, songwriter, and multi-instrumentalist, best known as the frontman and lead singer of the Boston -based rock band Aerosmith , in which he also plays the harmonica, and occasional piano and percussion.","March 26, 1948"
what is blood urea,The liver produces urea in the urea cycle as a waste product of the digestion of protein .,a waste product of the digestion of protein
what is blood urea,The liver produces urea in the urea cycle as a waste product of the digestion of protein .,a waste product of the digestion of protein
what is blood urea,Normal human adult blood should contain between 7 to 21 mg of urea nitrogen per 100 ml (7–21 mg/ dL ) of blood.,contain between 7 to 21 mg of urea nitrogen per 100 ml (7–21 mg/ dL ) of blood
where are the most concentration of jews living,"According to this report, about 42.5% of all Jews reside in Israel (5.7 million), and 39.3% in the United States (5.3 million), with most of the remainder living in Europe (1.5 million) and Canada (0.4 million).",Israel
where are the most concentration of jews living,"According to this report, about 42.5% of all Jews reside in Israel (5.7 million), and 39.3% in the United States (5.3 million), with most of the remainder living in Europe (1.5 million) and Canada (0.4 million).","According to this report, about 42.5% of all Jews reside in Israel (5.7 million), and 39.3% in the United States (5.3 million), with most of the remainder living in Europe (1.5 million) and Canada (0.4 million)"
